"Profile: GLM-5.2 i8k conc64 PREFILL (EXTEND) MXFP4 MI355X vs NVFP4 B200, TP4",,,,,,,,,,,,
MI355X trace: in8192_out16_conc64_p128-AMD-TP-0-EXTEND.trace.json.gz,,,,,,,,,,,,
B200 trace: in8192_out16_conc64_p128-NV-TP-0-EXTEND.trace.json.gz,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 1209.11 ms (overlap 1.00x) | B200 857.07 ms (overlap 1.00x) | B200/MI355X = 71%",,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,
,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_attn_and_capture_last_layer_outputs,allreduce.py(78),3,0,"void quickreduce::allreduce_prototype_twoshot<quickreduce::AllReduceTwoshot<__half, quickreduce::CodecQ8<__half, 4>, true>, __half>(__half const*, __half*, unsigned int, unsigned int, int, unsigned char**, unsigned int, unsigned int, long)",1388.1,,,/sgl-workspace/sglang/python/sglang/srt/distributed/device_communicators/custom_all_reduce_ops.py(150): qr_all_reduce,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_attn_and_capture_last_layer_outputs,RMSNorm,3,0,_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi24ELb1ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiib,116.4,121.2,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(365): forward_aiter,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(268): forward_cuda,,
,prepare_attn_and_capture_last_layer_outputs,(self),,,,,311.6,nvjet_sm100_tst_176x128_64x8_1x2_2cta_h_bz_TNN,,,,
,prepare_attn_and_capture_last_layer_outputs,Subtotal,,,,1504.500,432.800,,29%,,,
,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,ReplicatedLinear,3,0,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT224x256x64_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA128_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT7_8_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA1_VWB8_WSGRA0_WSGRB0_WS64_WG32_8_1,394,,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(181): apply,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,core.py(1504),3,0,_ZN5aiter23fused_qk_rmsnorm_kernelIDF16bLi256ELi8ELb1ELi4EEEvPT_S2_PKS1_S4_S4_S4_ffiiiiiii,33.6,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(129): fused_qk_rmsnorm_bf16,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,ColumnParallelLinear,3,0,aiter::bf16gemm_bf16_tn_256x256,202.8,,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(181): apply,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer > ReplicatedLinear,3,0,aiter::bf16gemm_bf16_tn_256x256,203.4,,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(181): apply,,,
,,,,1,hgemm_bf16_64x128x128x3_SPK1_W2x4x1_BLDS1_TN_AS1_0,71.7,,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(181): apply,,,
