Block,BlockLayers,DecoderSubmodule,LeafModule,KernelName,Calls,Total_us,PerLayer_us
A,3,DenseMLP,MergedColumnParallelLinear,"aiter::bf16gemm_bf16_tn_256x256",6,4613.9,384.49
A,3,DenseMLP,MergedColumnParallelLinear,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1",6,4467.6,372.30
A,3,DenseMLP,RowParallelLinear,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1",12,4869.9,405.83
A,3,DenseMLP,SiluAndMul,"_ZN7sgl_hip10activation18act_and_mul_kernelI14__hip_bfloat16TnPFT_RKS3_EXadL_Z4siluIS2_ES3_S5_EEEEvPS3_PS4_i",12,611.6,50.97
L,78,AllReduce(TP),DeepseekV2DecoderLayer,"void quickreduce::allreduce_prototype_twoshot<quickreduce::AllReduceTwoshot<__half, quickreduce::CodecQ4<__half, 4>, true>, __half>(__half const*, __half*, unsigned int, unsigned int, int, unsigned ch",620,499185.9,1599.95
L,78,Attn(MLA),ColumnParallelLinear,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1",156,30241.3,96.93
L,78,Attn(MLA),ColumnParallelLinear,"aiter::bf16gemm_bf16_tn_256x256",156,30113.2,96.52
L,78,Attn(MLA),DeepseekV2AttentionMLA,"_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_0_EVEN_MN_1_cache_modifier_CG",234,84943.4,272.25
L,78,Attn(MLA),DeepseekV2AttentionMLA,"_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_0_EVEN_MN_0_cache_modifier_CG",78,81962.2,262.70
L,78,Attn(MLA),DeepseekV2AttentionMLA,"_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_1_cache_modifier_CG",234,72194.6,231.39
L,78,Attn(MLA),DeepseekV2AttentionMLA,"_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_0_cache_modifier_CG",78,54271.0,173.95
L,78,Attn(MLA),DeepseekV2AttentionMLA,"_fused_qk_rope_cat_and_cache_mla_kernel",312,27254.4,87.35
L,78,Attn(MLA),DeepseekV2AttentionMLA,"_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi8ELb0ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb",234,6236.9,19.99
L,78,Attn(MLA),DeepseekV2AttentionMLA,"_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi64ELi8ELb0ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb",234,2014.3,6.46
L,78,Attn(MLA),DeepseekV2AttentionMLA,"_ZN5aiter23fused_qk_rmsnorm_kernelIDF16bLi256ELi8ELb1ELi4EEEvPT_S2_PKS1_S4_S4_S4_ffiiiiiii",78,1285.2,4.12
L,78,Attn(MLA),Indexer,"(anonymous namespace)::topk_transform_prefill_kernel((anonymous namespace)::FastTopKParams, int*, int const*, long, int const*, long)",84,55472.0,177.79
L,78,Attn(MLA),Indexer,"_gluon_fp8_mqa_logits_kernel",84,47015.6,150.69
L,78,Attn(MLA),Indexer,"void fast_hadamard_transform_kernel<fast_hadamard_transform_kernel_traits<16, 7, c10::BFloat16> >(HadamardParamsBase)",168,15657.0,50.18
L,78,Attn(MLA),Indexer,"Memcpy DtoD (Device -> Device)",84,4080.3,13.08
L,78,Attn(MLA),Indexer,"act_quant_kernel__kernel",84,3955.1,12.68
L,78,Attn(MLA),Indexer,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x96x256_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDST",63,3228.0,10.35
L,78,Attn(MLA),Indexer,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",168,2069.2,6.63
L,78,Attn(MLA),Indexer,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x32x512_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDST",21,459.3,1.47
L,78,Attn(MLA),Indexer,"_ZN5aiter32indexer_k_quant_and_cache_kernelIDF16bDB8_LN4vllm18Fp8KVCacheDataTypeE1ELi8ELi8ELi16EEEvPKT_PT0_PKliiiiibb",84,424.9,1.36
L,78,Attn(MLA),Indexer,"void aiter::cp_gather_indexer_k_quant_cache_kernel<8, 32>(char const*, char*, char*, int const*, int const*, int, long, long, long, long, long, int, int, int, bool)",84,397.1,1.27
L,78,Attn(MLA),Indexer,"void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_scan_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail",84,383.3,1.23
L,78,Attn(MLA),Indexer,"triton_poi_fused_mul_unsqueeze_0",84,368.4,1.18
L,78,Attn(MLA),Indexer,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::oper",84,361.6,1.16
L,78,Attn(MLA),LayerNorm,"_ZN7ck_tile6kentryILi1ENS_14Layernorm2dFwdINS_29Layernorm2dFwdPipelineOnePassINS_29Layernorm2dFwdPipelineProblemIDF16bDF16bDF16bDF16bfDF16bDF16bDF16bffNS_19Generic2dBlockShapeINS_8sequenceIJLi4ELi128E",84,606.1,1.94
L,78,Attn(MLA),RadixAttention,"main_kernel",624,1372441.7,4398.85
L,78,Attn(MLA),RadixAttention,"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<1u>, unsigned int, 3, 64, 64>(at::native::(anonymous namespace)::OpaqueType<1u>*, at::native::",312,77758.5,249.23
L,78,Attn(MLA),ReplicatedLinear,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT224x256x64_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDS",156,59913.8,192.03
L,78,Attn(MLA),ReplicatedLinear,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT208x256x64_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA4_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDS",78,52231.5,167.41
