"Profile: GLM-5.2 decode, in1024/out1024, conc4, TP0 (graph-on stats + no-cuda-graph structure)",,,,,,,,,,,,
MI355X trace: in1024_out1024_conc4_p8-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,
B200 trace: in1024_out1024_conc4_p8-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 16.98 ms (overlap 1.00x) | B200 48.05 ms (overlap 1.33x) | B200/MI355X = 283%",,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,
,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_attn_and_capture_last_layer_outputs,RMSNorm,3,0,_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi24ELb1ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_diiiiiiib,4.95,,,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(349): forward_aiter,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_attn_and_capture_last_layer_outputs,trtllm_mnnvl_ar.py(265),3,0,,,7.673,"void flashinfer::trtllm_mnnvl_allreduce::oneshotAllreduceFusionKernel<(unsigned char)4, __nv_bfloat16, true, float4>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16 const*, __nv_bfloat16**, __nv_bfloat16*, int, int, float, float, int, unsigned int*)",,/sgl-workspace/sglang/python/sglang/srt/layers/flashinfer_comm_fusion.py(720): flashinfer_allreduce_residual_rmsnorm,,
,prepare_attn_and_capture_last_layer_outputs,Subtotal,,,,4.950,7.673,,155%,,,
,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,ReplicatedLinear,3,0,hgemm_bf16_16x64x64x8_SPK6_W1x2x1_BLDS1_TN_AS1_0,9.169,8.886,nvjet_sm100_tst_64x8_64x16_4x1_v_bz_splitK_TNT,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,
,DeepseekV2AttentionMLA,(self),,,,,3.177,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,core.py(1436),3,0,_ZN5aiter23fused_qk_rmsnorm_kernelIDF16bLi256ELi8ELb1ELi1EEEvPT_S2_PKS1_S4_S4_S4_ffiiiiiii,4.809,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(129): fused_qk_rmsnorm_bf16,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,ColumnParallelLinear,3,0,hgemm_bf16_16x64x128x3_SPK4_W1x2x1_BLDS1_TN_AS1_0,6.874,,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,RMSNorm,3,0,,,3.064,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16o2048i64div81_tensorptrbf16gmemalign16o20481_tensorptrbf16gmemalign16o2048i64div81___Tru_0,,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(251): forward_cuda,,
,,,,1,,,1.819,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign16o512i64div81_tensorptrbf16gmemalign16o5121_tensorptrbf16gmemalign16o512i64div81___True_4_0,,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(251): forward_cuda,,
