gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1024,4096,2048,asm,5,1,18.4361,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,931.86,1023.77,0.0
gfx950,256,2048,4096,2048,ck,13,0,30.75,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1117.39,954.8,0.0
gfx950,256,4096,4096,2048,ck,13,0,55.3725,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1241.04,908.96,0.0
gfx950,256,8192,4096,2048,ck,13,0,101.1723,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1358.46,912.05,0.0
gfx950,256,16384,4096,2048,ck,13,0,188.0763,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1461.52,936.65,0.0
gfx950,256,32768,4096,2048,ck,13,0,358.2436,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1534.59,960.05,0.0
gfx950,256,65536,4096,2048,ck,13,0,709.584,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1549.52,957.57,0.0
gfx950,256,1024,6144,4096,ck,14,0,44.0612,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1169.73,951.93,0.0002
gfx950,256,2048,6144,4096,ck,13,0,74.66,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1380.65,786.5,0.0
gfx950,256,4096,6144,4096,ck,13,0,131.1005,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1572.52,703.85,0.0
gfx950,256,8192,6144,4096,cktile,27,0,242.8494,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1697.83,656.31,0.0
gfx950,256,16384,6144,4096,cktile,11,0,445.3086,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1851.83,659.32,0.0
gfx950,256,32768,6144,4096,cktile,28,0,887.6722,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1857.97,633.16,0.0
gfx950,256,65536,6144,4096,cktile,29,0,1757.2242,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1877.13,625.37,0.0
