gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.3333,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,1.2%,9.5426,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.9%,21.8759,0,0,0,7.77,110869.71,
gfx950,256,2,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.4158,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw2_fp4,1.1%,12.301,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.0%,29.7168,0,0,0,11.43,81616.9,
gfx950,256,4,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,27.2544,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,1.1%,19.1264,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_reduce_xcd4,0.1%,46.3808,0,0,0,14.65,52293.84,
gfx950,256,8,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,51.9791,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_xcd4,0.0%,28.4285,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,0.1%,80.4076,0,0,0,16.9,30165.11,
gfx950,256,16,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,74.6134,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,44.8568,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,0.1%,119.4702,0,0,0,22.75,20303.4,
gfx950,256,32,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,108.5682,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,63.1974,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_persist,2.1%,171.7656,0,0,0,31.65,14123.59,
gfx950,256,64,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,141.3098,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.7%,81.4349,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.1%,222.7447,0,0,0,48.81,10893.8,
gfx950,256,128,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,153.6973,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.8%,91.388,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_persist,2.1%,245.0853,0,0,0,88.72,9905.59,
gfx950,256,256,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,164.0297,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_xcd4_fp4,0.8%,98.0609,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_sbm64,2.1%,262.0906,0,0,0,165.92,9271.89,
gfx950,256,512,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,171.6182,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw4,0.0%,105.6561,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_persist,2.1%,277.2743,0,0,0,313.67,8781.17,
gfx950,256,1024,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,185.8872,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3,0.0%,133.7946,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.1%,319.6818,0,0,0,544.12,7645.82,
gfx950,256,2048,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,235.1193,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3,0.0%,228.6605,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_sbm128,0.1%,463.7798,0,0,0,750.12,5310.94,
